"","county_desc","site_name","election_dt","site_total_age","age_percent_Age 18 - 25","age_percent_Age 26 - 40","age_percent_Age 41 - 65","age_percent_Age Over 66","age_percent_NA","n_Age 18 - 25","n_Age 26 - 40","n_Age 41 - 65","n_Age Over 66","n_NA","site_total_ethnicity","ethnicity_percent_HISPANIC or LATINO","ethnicity_percent_NOT HISPANIC or NOT LATINO","ethnicity_percent_UNDESIGNATED ETHNICITY","n_HISPANIC or LATINO","n_NOT HISPANIC or NOT LATINO","n_UNDESIGNATED ETHNICITY","site_total","race_percent_ASIAN","race_percent_BLACK or AFRICAN AMERICAN","race_percent_INDIAN AMERICAN or ALASKA NATIVE","race_percent_OTHER","race_percent_TWO or MORE RACES","race_percent_UNDESIGNATED RACE","race_percent_WHITE","race_percent_'UNDESIGNATED","n_ASIAN","n_BLACK or AFRICAN AMERICAN","n_INDIAN AMERICAN or ALASKA NATIVE","n_OTHER","n_TWO or MORE RACES","n_UNDESIGNATED RACE","n_WHITE","n_'UNDESIGNATED","n","sdr_percent","race_percent_NATIVE HAWAIIAN or PACIFIC ISLANDER","n_NATIVE HAWAIIAN or PACIFIC ISLANDER","election"
"413","WAKE","KD - KNIGHTDALE RECREATION CENTER","11/08/2016",9017,0.071,0.249,0.507,0.165,0.008,643,2242,4570,1488,74,9017,0.035,0.714,0.251,316,6441,2260,9017,0.013,0.394,0.003,0.03,0.009,0.057,0.494,NA,117,3554,28,269,85,510,4454,NA,256,0.028,NA,NA,"2016-11"
"414","WAKE","LL - LAKE LYNN COMMUNITY CENTER","11/08/2016",28241,0.067,0.242,0.471,0.214,0.007,1879,6835,13301,6041,185,28241,0.025,0.756,0.219,702,21362,6177,28241,0.024,0.151,0.002,0.032,0.008,0.05,0.732,NA,681,4256,62,913,219,1425,20685,NA,670,0.024,NA,NA,"2016-11"
"415","WAKE","NCSU CREATIVE SERVICES BLDG","11/08/2016",11679,0.401,0.233,0.234,0.068,0.064,4682,2726,2730,791,750,11679,0.027,0.632,0.341,316,7379,3984,11679,0.038,0.098,0.002,0.025,0.016,0.152,0.668,NA,441,1147,24,295,190,1780,7802,NA,680,0.058,NA,NA,"2016-11"
"416","WAKE","NEW BETHEL BAPTIST CHURCH","11/08/2016",8669,0.056,0.242,0.553,0.136,0.013,485,2097,4797,1180,110,8669,0.019,0.763,0.218,163,6612,1894,8669,0.009,0.173,0.002,0.021,0.007,0.048,0.74,NA,78,1504,17,180,57,419,6414,NA,250,0.029,NA,NA,"2016-11"
"417","WAKE","NR - NORTHERN REGIONAL CENTER","11/08/2016",17607,0.054,0.168,0.55,0.218,0.01,945,2960,9682,3841,179,17607,0.027,0.762,0.211,477,13422,3708,17607,0.017,0.19,0.002,0.03,0.008,0.041,0.712,NA,300,3351,34,520,146,718,12538,NA,411,0.023,NA,NA,"2016-11"
"418","WAKE","OP - OPTIMIST COMMUNITY CENTER","11/08/2016",14827,0.072,0.262,0.461,0.198,0.006,1070,3892,6836,2936,93,14827,0.017,0.79,0.193,252,11709,2866,14827,0.011,0.104,0.002,0.021,0.006,0.045,0.812,NA,164,1536,25,304,84,671,12043,NA,389,0.026,NA,NA,"2016-11"
"419","WAKE","TRIANGLE CHRISTIAN CENTER","11/08/2016",6846,0.083,0.361,0.468,0.081,0.006,567,2474,3204,557,44,6846,0.021,0.708,0.271,145,4849,1852,6846,0.034,0.138,0.003,0.028,0.011,0.073,0.714,NA,232,943,19,195,72,500,4885,NA,291,0.043,NA,NA,"2016-11"
"420","WAKE","WA - WAKE TECH COMMUNITY COLLEGE","11/08/2016",8147,0.118,0.205,0.516,0.137,0.024,960,1668,4203,1120,196,8147,0.03,0.718,0.252,244,5847,2056,8147,0.011,0.132,0.002,0.026,0.007,0.057,0.765,NA,93,1073,16,209,53,468,6235,NA,237,0.029,NA,NA,"2016-11"
"421","WAKE","WAKE COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",16543,0.098,0.351,0.443,0.102,0.005,1620,5814,7336,1695,78,16543,0.022,0.713,0.266,358,11787,4398,16543,0.017,0.205,0.002,0.025,0.011,0.049,0.692,NA,276,3395,38,406,174,810,11444,NA,509,0.031,NA,NA,"2016-11"
"422","WAKE","WD - WENDELL COMMUNITY CENTER","11/08/2016",5610,0.069,0.255,0.494,0.171,0.01,389,1428,2773,962,58,5610,0.03,0.742,0.229,167,4160,1283,5610,0.009,0.242,0.003,0.021,0.009,0.06,0.658,NA,49,1356,16,116,48,335,3690,NA,168,0.03,NA,NA,"2016-11"
"423","WAKE","ZB - ZEBULON - EASTERN REGIONAL CENTER","11/08/2016",8431,0.062,0.196,0.522,0.212,0.008,520,1649,4404,1790,68,8431,0.029,0.746,0.225,242,6291,1898,8431,0.005,0.334,0.003,0.021,0.008,0.051,0.578,NA,42,2814,24,177,64,434,4876,NA,253,0.03,NA,NA,"2016-11"
"424","WARREN","WARREN COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",6177,0.058,0.152,0.469,0.314,0.007,359,936,2895,1941,46,6177,0.002,0.696,0.302,15,4299,1863,6177,0.001,0.623,0.043,0.007,0.003,0.015,0.308,NA,9,3848,264,43,19,91,1903,NA,219,0.035,NA,NA,"2016-11"
"425","WASHINGTON","WASHINGTON COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",3684,0.056,0.132,0.467,0.34,0.005,205,487,1721,1251,20,3684,0.004,0.889,0.106,16,3276,392,3684,0.002,0.507,0,0.004,0.002,0.015,0.469,NA,8,1867,1,16,9,55,1728,NA,78,0.021,NA,NA,"2016-11"
"426","WATAUGA","BLOWING ROCK TOWN HALL","11/08/2016",1101,0.049,0.134,0.461,0.35,0.005,54,148,508,385,6,1101,0.005,0.899,0.095,6,990,105,1101,0.001,0.004,NA,0.006,0.003,0.013,0.974,NA,1,4,NA,7,3,14,1072,NA,20,0.018,NA,NA,"2016-11"
"427","WATAUGA","DEEP GAP FIRE DEPT","11/08/2016",982,0.051,0.155,0.491,0.297,0.006,50,152,482,292,6,982,0.004,0.905,0.091,4,889,89,982,0.003,0.005,NA,0.004,NA,0.026,0.961,NA,3,5,NA,4,NA,26,944,NA,14,0.014,NA,NA,"2016-11"
"428","WATAUGA","MEAT CAMP FIRE DEPARTMENT","11/08/2016",756,0.038,0.157,0.471,0.329,0.004,29,119,356,249,3,756,NA,0.902,0.098,NA,682,74,756,NA,0.005,NA,0.003,NA,0.005,0.987,NA,NA,4,NA,2,NA,4,746,NA,16,0.021,NA,NA,"2016-11"
"429","WATAUGA","PLEMMONS STUDENT UNION","11/08/2016",6482,0.66,0.082,0.099,0.012,0.147,4277,533,643,77,952,6482,0.05,0.734,0.216,321,4760,1401,6482,0.017,0.044,0.003,0.022,0.024,0.03,0.86,NA,112,285,19,140,155,195,5576,NA,773,0.119,NA,NA,"2016-11"
"430","WATAUGA","WATAUGA COUNTY ADMINISTRATION BUILDING","11/08/2016",9291,0.169,0.174,0.394,0.252,0.01,1568,1620,3664,2345,94,9291,0.012,0.852,0.136,113,7913,1265,9291,0.004,0.015,0.001,0.01,0.007,0.013,0.95,NA,39,135,10,95,66,124,8822,NA,357,0.038,NA,NA,"2016-11"
"431","WATAUGA","WESTERN WATAUGA COMM. CENTER","11/08/2016",1079,0.04,0.123,0.426,0.405,0.006,43,133,460,437,6,1079,0.002,0.91,0.088,2,982,95,1079,NA,NA,NA,0.006,NA,0.023,0.971,NA,NA,NA,NA,6,NA,25,1048,NA,25,0.023,NA,NA,"2016-11"
"432","WAYNE","FREMONT TOWN HALL","11/08/2016",2337,0.068,0.155,0.517,0.25,0.01,159,363,1208,584,23,2337,0.006,0.779,0.215,14,1821,502,2337,NA,0.18,0.002,0.009,0.001,0.039,0.77,NA,NA,420,5,20,3,90,1799,NA,80,0.034,NA,NA,"2016-11"
"433","WAYNE","GOLDSBORO WORSHIP CENTER","11/08/2016",7967,0.08,0.194,0.483,0.233,0.011,634,1542,3849,1858,84,7967,0.016,0.779,0.205,126,6205,1636,7967,0.007,0.256,0.001,0.016,0.005,0.034,0.681,NA,54,2043,9,127,40,268,5426,NA,243,0.031,NA,NA,"2016-11"
"434","WAYNE","LITTLE RIVER SHOPPING CENTER","11/08/2016",5914,0.066,0.168,0.522,0.235,0.009,391,996,3085,1387,55,5914,0.01,0.8,0.19,58,4733,1123,5914,0.003,0.144,0.002,0.013,0.003,0.02,0.814,NA,17,853,13,79,17,121,4814,NA,216,0.037,NA,NA,"2016-11"
"435","WAYNE","MOUNT OLIVE CIVIC CENTER","11/08/2016",3706,0.071,0.139,0.484,0.297,0.009,263,516,1793,1100,34,3706,0.027,0.727,0.246,101,2695,910,3706,0.002,0.343,0.004,0.021,0.002,0.025,0.602,NA,7,1271,15,79,8,94,2232,NA,133,0.036,NA,NA,"2016-11"
"436","WAYNE","NEW HOPE FRIENDS CHURCH","11/08/2016",2941,0.063,0.152,0.488,0.289,0.007,185,448,1436,850,22,2941,0.015,0.775,0.21,45,2278,618,2941,0.002,0.102,0,0.019,0.003,0.039,0.834,NA,7,301,1,55,9,115,2453,NA,77,0.026,NA,NA,"2016-11"
"437","WAYNE","WAYNE COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",13444,0.056,0.154,0.495,0.287,0.008,753,2072,6659,3852,108,13444,0.015,0.716,0.269,202,9632,3610,13444,0.006,0.518,0.002,0.014,0.005,0.051,0.405,NA,77,6963,25,192,63,679,5445,NA,452,0.034,NA,NA,"2016-11"
"438","WILKES","MILLERS CREEK FIRE DEPARTMENT","11/08/2016",1679,0.06,0.152,0.472,0.307,0.008,101,255,793,516,14,1679,0.004,0.879,0.117,7,1476,196,1679,NA,0.001,NA,0.002,0.002,0.016,0.979,NA,NA,2,NA,3,4,27,1643,NA,56,0.033,NA,NA,"2016-11"
"439","WILKES","MOUNTAIN VIEW RURITAN BUILDING","11/08/2016",665,0.083,0.131,0.477,0.302,0.008,55,87,317,201,5,665,0.002,0.898,0.101,1,597,67,665,NA,0.005,NA,NA,NA,0.006,0.989,NA,NA,3,NA,NA,NA,4,658,NA,39,0.059,NA,NA,"2016-11"
"440","WILKES","MULBERRY FAIRPLAINS FIRE DEPARTMENT","11/08/2016",1041,0.058,0.102,0.461,0.375,0.005,60,106,480,390,5,1041,0.008,0.896,0.096,8,933,100,1041,NA,0.014,NA,0.008,0.002,0.011,0.965,NA,NA,15,NA,8,2,11,1005,NA,23,0.022,NA,NA,"2016-11"
"441","WILKES","PLEASANT HILL FIRE DEPARTMENT","11/08/2016",1601,0.056,0.154,0.468,0.317,0.005,89,246,750,508,8,1601,0.003,0.844,0.153,5,1351,245,1601,NA,0.007,0.001,0.001,0.001,0.051,0.94,NA,NA,11,1,2,1,81,1505,NA,77,0.048,NA,NA,"2016-11"
"442","WILKES","WILKES COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",10434,0.063,0.138,0.477,0.315,0.007,656,1441,4978,3290,69,10434,0.013,0.892,0.095,137,9310,987,10434,0.002,0.063,0.001,0.008,0.002,0.008,0.917,NA,19,654,7,83,21,84,9566,NA,393,0.038,NA,NA,"2016-11"
"443","WILSON","LIDA BLALOCK BUILDING","11/08/2016",6164,0.05,0.149,0.453,0.336,0.012,309,917,2790,2073,75,6164,0.015,0.854,0.131,90,5267,807,6164,0.003,0.205,0,0.019,0.002,0.015,0.756,NA,17,1266,2,115,13,91,4660,NA,140,0.023,NA,NA,"2016-11"
"444","WILSON","LOBBY","11/08/2016",1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-11"
"445","WILSON","WILSON COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",18310,0.068,0.166,0.504,0.241,0.021,1252,3038,9220,4409,391,18310,0.011,0.82,0.168,208,15021,3081,18310,0.002,0.506,0.001,0.016,0.002,0.027,0.446,NA,34,9262,24,284,43,501,8162,NA,613,0.033,NA,NA,"2016-11"
"446","YADKIN","YADKIN COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",7407,0.067,0.144,0.488,0.293,0.008,497,1064,3613,2172,61,7407,0.018,0.874,0.108,137,6473,797,7407,0.002,0.036,0.001,0.011,0.002,0.014,0.934,NA,12,270,5,84,14,104,6918,NA,301,0.041,NA,NA,"2016-11"
"447","YANCEY","YANCEY COUNTY BOARD OF ELECTIONS OFFICE","11/08/2016",5775,0.059,0.139,0.463,0.333,0.007,340,801,2672,1921,41,5775,0.003,0.846,0.15,19,4888,868,5775,0.002,0.006,0.001,0.002,0.001,0.01,0.978,NA,11,34,7,13,6,58,5646,NA,163,0.028,NA,NA,"2016-11"
"448","ALAMANCE","ALAMANCE COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",415,0.027,0.118,0.405,0.446,0.005,11,49,168,185,2,NA,NA,NA,NA,NA,NA,NA,415,NA,0.188,NA,0.019,0.005,0.022,0.766,NA,NA,78,NA,8,2,9,318,NA,8,0.019,NA,NA,"2017-10"
"449","BUNCOMBE","BUNCOMBE COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",2724,0.015,0.137,0.378,0.468,0.002,42,374,1029,1274,5,NA,NA,NA,NA,NA,NA,NA,2724,0.007,0.084,0.002,0.017,0.004,0.029,0.857,NA,19,228,5,46,11,80,2335,NA,21,0.008,NA,NA,"2017-10"
"450","BURKE","BURKE COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",2,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"2017-10"
"451","CAMDEN","CAMDEN COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",16,NA,NA,NA,1,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,0.062,0.938,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,"2017-10"
"452","CARTERET","CARTERET COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",15,0.067,NA,0.4,0.533,NA,1,NA,6,8,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,"2017-10"
"453","CATAWBA","HIGHLAND RECREATION CENTER","10/10/2017",1318,0.017,0.072,0.372,0.538,0.001,23,95,490,709,1,NA,NA,NA,NA,NA,NA,NA,1318,0.004,0.063,NA,0.006,0.002,0.008,0.918,NA,5,83,NA,8,2,10,1210,NA,10,0.008,NA,NA,"2017-10"
"454","CHATHAM","CHATHAM COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",26,NA,NA,0.038,0.962,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,0.077,NA,NA,NA,NA,0.923,NA,NA,2,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,"2017-10"
"455","CRAVEN","CRAVEN COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",1723,0.019,0.063,0.351,0.567,0.001,32,108,605,977,1,NA,NA,NA,NA,NA,NA,NA,1723,0.003,0.274,0.001,0.003,0.002,0.009,0.707,NA,6,472,2,5,3,16,1219,NA,22,0.013,NA,NA,"2017-10"
"456","CUMBERLAND","CUMBERLAND COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",2900,0.036,0.077,0.412,0.471,0.005,103,222,1194,1367,14,NA,NA,NA,NA,NA,NA,NA,2900,0.002,0.641,0.002,0.018,0.005,0.015,0.318,NA,5,1859,6,51,15,43,921,NA,43,0.015,NA,NA,"2017-10"
"457","DAVIDSON","DAVIDSON COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",7,NA,NA,0.143,0.857,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,"2017-10"
"458","DURHAM","DURHAM COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",3744,0.032,0.231,0.426,0.308,0.002,121,864,1596,1154,9,NA,NA,NA,NA,NA,NA,NA,3744,0.009,0.34,0.001,0.017,0.011,0.036,0.586,NA,34,1273,4,63,40,136,2194,NA,56,0.015,NA,NA,"2017-10"
"459","DURHAM","NCCU ONESTOP","10/10/2017",926,0.191,0.177,0.333,0.227,0.072,177,164,308,210,67,NA,NA,NA,NA,NA,NA,NA,926,0.002,0.806,0.001,0.014,0.017,0.037,0.123,NA,2,746,1,13,16,34,114,NA,124,0.134,NA,NA,"2017-10"
"460","DURHAM","NORTH REGIONAL LIBRARY","10/10/2017",1545,0.014,0.125,0.394,0.465,0.002,21,193,609,719,3,NA,NA,NA,NA,NA,NA,NA,1545,0.006,0.404,0.002,0.006,0.007,0.016,0.559,NA,9,624,3,10,11,25,863,NA,8,0.005,NA,NA,"2017-10"
"461","DURHAM","SOUTH REGIONAL LIBRARY","10/10/2017",3092,0.018,0.178,0.426,0.376,0.002,57,550,1316,1164,5,NA,NA,NA,NA,NA,NA,NA,3092,0.012,0.487,0.001,0.013,0.007,0.024,0.456,NA,38,1505,4,41,21,73,1410,NA,31,0.01,NA,NA,"2017-10"
"462","EDGECOMBE","EDGECOMBE COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10"
"463","EDGECOMBE","ROCKY MOUNT DEPARTMENT OF SOCIAL SERVICES","10/10/2017",38,0.026,0.053,0.395,0.526,NA,1,2,15,20,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,1,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,1,0.026,NA,NA,"2017-10"
"464","GUILFORD","GUILFORD COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",2324,0.041,0.157,0.432,0.365,0.004,96,366,1003,849,10,NA,NA,NA,NA,NA,NA,NA,2324,0.005,0.4,0.003,0.021,0.007,0.019,0.546,NA,12,929,6,48,16,44,1269,NA,48,0.021,NA,NA,"2017-10"
"465","GUILFORD","WASHINGTON TERRACE PARK","10/10/2017",1071,0.019,0.063,0.422,0.495,0.002,20,67,452,530,2,NA,NA,NA,NA,NA,NA,NA,1071,0.001,0.501,0.001,0.006,0.003,0.007,0.481,NA,1,537,1,6,3,8,515,NA,4,0.004,NA,NA,"2017-10"
"466","HARNETT","HARNETT COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,"2017-10"
"467","IREDELL","IREDELL COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",1571,0.018,0.086,0.399,0.494,0.003,28,135,627,776,5,NA,NA,NA,NA,NA,NA,NA,1571,0.003,0.197,0.001,0.004,0.001,0.008,0.786,NA,4,310,2,7,1,12,1235,NA,9,0.006,NA,NA,"2017-10"
"468","MECKLENBURG","HAL MARSHALL ANNEX","10/10/2017",48,0.021,0.146,0.521,0.312,NA,1,7,25,15,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,0.458,NA,0.021,0.021,NA,0.5,NA,NA,22,NA,1,1,NA,24,NA,NA,NA,NA,NA,"2017-10"
"469","MECKLENBURG","INDEPENDENCE REGIONAL LIBRARY","10/10/2017",348,0.009,0.149,0.474,0.365,0.003,3,52,165,127,1,NA,NA,NA,NA,NA,NA,NA,348,0.017,0.374,NA,0.017,NA,0.02,0.572,NA,6,130,NA,6,NA,7,199,NA,NA,NA,NA,NA,"2017-10"
"470","MOORE","MOORE COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",97,0.021,0.052,0.443,0.464,0.021,2,5,43,45,2,NA,NA,NA,NA,NA,NA,NA,97,NA,0.031,NA,NA,NA,0.01,0.959,NA,NA,3,NA,NA,NA,1,93,NA,2,0.021,NA,NA,"2017-10"
"471","NASH","BRASWELL MEMORIAL LIBRARY","10/10/2017",193,0.01,0.016,0.415,0.56,NA,2,3,80,108,NA,NA,NA,NA,NA,NA,NA,NA,193,0.005,0.28,NA,0.005,NA,0.01,0.699,NA,1,54,NA,1,NA,2,135,NA,2,0.01,NA,NA,"2017-10"
"472","NASH","NASH COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",184,0.022,0.016,0.386,0.576,NA,4,3,71,106,NA,NA,NA,NA,NA,NA,NA,NA,184,NA,0.13,0.005,0.005,NA,NA,0.859,NA,NA,24,1,1,NA,NA,158,NA,NA,NA,NA,NA,"2017-10"
"473","PASQUOTANK","PASQUOTANK COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",1678,0.029,0.086,0.38,0.5,0.005,48,145,637,839,9,NA,NA,NA,NA,NA,NA,NA,1678,0.001,0.462,NA,0.006,0.004,0.016,0.511,NA,1,775,NA,10,7,27,858,NA,25,0.015,NA,NA,"2017-10"
"474","PERSON","PERSON COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",309,0.026,0.074,0.269,0.631,NA,8,23,83,195,NA,NA,NA,NA,NA,NA,NA,NA,309,NA,0.288,0.003,NA,NA,0.006,0.702,NA,NA,89,1,NA,NA,2,217,NA,3,0.01,NA,NA,"2017-10"
"475","RICHMOND","RICHMOND COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",19,NA,0.158,0.526,0.316,NA,NA,3,10,6,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,0.947,NA,NA,NA,0.053,NA,NA,NA,18,NA,NA,NA,1,NA,NA,1,0.053,NA,NA,"2017-10"
"476","VANCE","VANCE COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",154,0.019,0.026,0.325,0.63,NA,3,4,50,97,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,0.636,NA,0.013,0.013,0.006,0.331,NA,NA,98,NA,2,2,1,51,NA,NA,NA,NA,NA,"2017-10"
"477","WAKE","AG - ANNE GORDON CENTER FOR ACTIVE ADULTS","10/10/2017",1414,0.014,0.104,0.424,0.454,0.004,20,147,600,642,5,NA,NA,NA,NA,NA,NA,NA,1414,0.011,0.175,0.001,0.015,0.003,0.021,0.774,NA,15,248,2,21,4,29,1095,NA,7,0.005,NA,NA,"2017-10"
"478","WAKE","CA - HERBERT C YOUNG COMMUNITY CENTER","10/10/2017",995,0.035,0.13,0.502,0.33,0.004,35,129,499,328,4,NA,NA,NA,NA,NA,NA,NA,995,0.055,0.081,0.001,0.026,0.004,0.029,0.803,NA,55,81,1,26,4,29,799,NA,10,0.01,NA,NA,"2017-10"
"479","WAKE","GREEN ROAD COMMUNITY CENTER","10/10/2017",1077,0.028,0.143,0.516,0.307,0.006,30,154,556,331,6,NA,NA,NA,NA,NA,NA,NA,1077,0.019,0.47,0.002,0.033,0.006,0.036,0.434,NA,21,506,2,36,6,39,467,NA,10,0.009,NA,NA,"2017-10"
"480","WAKE","LL - LAKE LYNN COMMUNITY CENTER","10/10/2017",1570,0.031,0.154,0.403,0.409,0.003,49,242,632,642,5,NA,NA,NA,NA,NA,NA,NA,1570,0.007,0.148,0.001,0.013,0.005,0.029,0.797,NA,11,232,2,21,8,45,1251,NA,9,0.006,NA,NA,"2017-10"
"481","WAKE","MT - METHOD ROAD COMMUNITY CENTER","10/10/2017",931,0.087,0.191,0.398,0.315,0.009,81,178,371,293,8,NA,NA,NA,NA,NA,NA,NA,931,0.042,0.148,0.001,0.061,0.008,0.048,0.692,NA,39,138,1,57,7,45,644,NA,11,0.012,NA,NA,"2017-10"
"482","WAKE","RB - ROBERTS COMMUNITY CENTER","10/10/2017",1137,0.036,0.164,0.431,0.366,0.003,41,187,490,416,3,NA,NA,NA,NA,NA,NA,NA,1137,0.003,0.803,0.002,0.008,0.004,0.043,0.138,NA,3,913,2,9,4,49,157,NA,19,0.017,NA,NA,"2017-10"
"483","WAKE","WAKE COUNTY BOARD OF ELECTIONS OFFICE","10/10/2017",3019,0.054,0.273,0.435,0.234,0.005,163,823,1312,705,16,NA,NA,NA,NA,NA,NA,NA,3019,0.017,0.275,0.003,0.023,0.008,0.047,0.628,NA,51,829,8,69,24,142,1896,NA,62,0.021,NA,NA,"2017-10"
"484","ALAMANCE","ALAMANCE COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",1005,0.034,0.099,0.388,0.474,0.006,34,99,390,476,6,NA,NA,NA,NA,NA,NA,NA,1005,0.002,0.147,NA,0.011,0.002,0.013,0.825,NA,2,148,NA,11,2,13,829,NA,11,0.011,NA,NA,"2017-11"
"485","AVERY","AVERY COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",80,NA,0.088,0.4,0.5,0.013,NA,7,32,40,1,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,0.013,0.988,NA,NA,NA,NA,NA,NA,1,79,NA,3,0.038,NA,NA,"2017-11"
"486","BEAUFORT","BEAUFORT COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",693,0.001,0.052,0.338,0.608,0.001,1,36,234,421,1,NA,NA,NA,NA,NA,NA,NA,693,0.001,0.214,NA,0.009,0.003,0.019,0.755,NA,1,148,NA,6,2,13,523,NA,5,0.007,NA,NA,"2017-11"
"487","BERTIE","BERTIE COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",145,0.007,0.069,0.297,0.628,NA,1,10,43,91,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,0.166,NA,NA,NA,0.014,0.821,NA,NA,24,NA,NA,NA,2,119,NA,1,0.007,NA,NA,"2017-11"
"488","BLADEN","BLADEN COUNTY PUBLIC LIBRARY","11/07/2017",365,0.025,0.088,0.395,0.493,NA,9,32,144,180,NA,NA,NA,NA,NA,NA,NA,NA,365,NA,0.304,NA,NA,NA,0.003,0.693,NA,NA,111,NA,NA,NA,1,253,NA,3,0.008,NA,NA,"2017-11"
"489","BRUNSWICK","BRUNSWICK COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",1866,0.004,0.019,0.31,0.666,0.001,7,36,578,1243,2,NA,NA,NA,NA,NA,NA,NA,1866,0.002,0.071,NA,0.004,0.001,0.023,0.899,NA,3,133,NA,8,1,43,1678,NA,45,0.024,NA,NA,"2017-11"
"490","BUNCOMBE","BUNCOMBE COUNTY BOARD OF ELECTIONS OFFICE","11/07/2017",1759,0.013,0.105,0.379,0.501,0.002,23,184,666,882,4,NA,NA,NA,NA,NA,NA,NA,1759,0.001,0.094,0.002,0.018,0.004,0.03,0.851,NA,2,165,4,31,7,53,1497,NA,16,0.009,NA,NA,"2017-11"
"491","BUNCOMBE","FIRST CONGREGATIONAL CHURCH","11/07/2017",255,0.012,0.2,0.424,0.365,NA,3,51,108,93,NA,NA,NA,NA,NA,NA,NA,NA,255,NA,0.047,NA,0.016,0.016,0.02,0.902,NA,NA,12,NA,4,4,5,230,NA,NA,NA,NA,NA,"2017-11"
"492","BUNCOMBE","MURPHY-OAKLEY RECREATION CTR","11/07/2017",245,0.008,0.257,0.412,0.322,NA,2,63,101,79,NA,NA,NA,NA,NA,NA,NA,NA,245,0.012,0.061,0.004,0.012,0.008,0.049,0.853,NA,3,15,1,3,2,12,209,NA,1,0.004,NA,NA,"2017-11"
